ID,P-value,Node Degree,Activity Score
C00009,0.273302332130741,1,1.64694048411187
C00022,0.384859184217185,8,7.72073652063631
C00025,0.511023518870014,8,8.57028806953701
C00049,0.872369870500983,3,3.9851046343879
C00064,0.0326255206776045,2,3.45077916647801
C00065,0.161752613981253,10,10.3210203575861
C00086,0.911023614391541,5,3.0277470561921
C00097,0.552005500173557,11,12.7253003101729
C00124,0.579530368526951,3,4.83165468807371
C00148,0.843295333958664,6,7.21740057265386
C00158,0.21531212528253,5,7.39898366653517
C00183,0.0578532732204579,5,8.01872782020692
C00186,0.318210954168035,4,4.59428802388183
C00187,0.123295106960889,2,3.96634338613406
C00188,0.422852587308767,4,4.91728915318301
C00189,0.189817075415419,4,4.4949891709061
C00209,0.548398917847519,4,2.13895138338004
C00247,0.167741874817334,10,11.9055771783606
C00249,0.581324419404869,4,3.77825969260493
C00337,0.410461711747542,7,6.6038831143683
C00383,0.00255206812941732,2,4.13734383889237
C00581,0.54987980540165,6,4.70709952198094
C00643,0.231505274495052,6,6.84490609182162
C00978,0.37411769322477,6,6.54256352993748
C01585,0.645396175968115,1,1.06032828727128
C01595,0.88665380598385,3,1.7814052412499
C01712,0.641276560894354,4,4.79187470779322
C02170,0.735255234857105,3,2.00671058953952
C02262,0.630223909848129,0,0.481411718293176
C02457,0.473666381683137,2,1.9434563997808
C02497,0.724928324719055,8,10.2357649821147
C02679,0.540030890207625,4,2.92801050893468
C03046,0.0770593158473554,11,13.776061704295
C03752,0.396325031806004,1,2.984864469684
C05145,0.0785321409382859,6,9.63955234726318
C05984,0.364852128490082,1,1.50409843616677
C06156,0.442270154551816,4,5.63889687782075
C06418,0.0867560373931497,7,7.14568471630948
C06424,0.865225117800637,7,4.63329733736972
